기업명: KB금융
기업 고유번호: 00688996
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
해외사업장순투자위험회피수단의 손익           39,631,000,000         -186,708,000,000
해외사업장순투자위험회피수단의 손익                        0                        0
해외사업장순투자위험회피수단의 손익           39,631,000,000         -186,708,000,000
해외사업장순투자위험회피수단의 손익           39,631,000,000         -186,708,000,000
해외사업장순투자위험회피수단의 손익                        0                        0
해외사업장순투자위험회피수단의 손익                        0                        0
해외사업장순투자위험회피수단의 손익                        0                        0
해외사업장순투자위험회피수단의 손익                        0                        0
해외사업장순투자위험회피수단의 손익                        0                        0
보험계약자산(부채)순금융손익               1,159,681,000,000       -3,176,328,000,000
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익               1,159,681,000,000       -3,176,328,000,000
보험계약자산(부채)순금융손익               1,159,681,000,000       -3,176,328,000,000
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
관계기업 및 공동기업 기타포괄손...             2,018,000,000              165,000,000
관계기업 및 공동기업 기타포괄손...                         0                        0
관계기업 및 공동기업 기타포괄손...             2,018,000,000              165,000,000
관계기업 및 공동기업 기타포괄손...             2,018,000,000              165,000,000
관계기업 및 공동기업 기타포괄손...                         0                        0
관계기업 및 공동기업 기타포괄손...                         0                        0
관계기업 및 공동기업 기타포괄손...                         0                        0
관계기업 및 공동기업 기타포괄손...                         0                        0
관계기업 및 공동기업 기타포괄손...                         0                        0
당기순이익                                 5,840,715,000,000        5,028,606,000,000
당기순이익                                     7,553,000,000          -49,615,000,000
당기순이익                                 5,833,162,000,000        5,078,221,000,000
당기순이익                                                 0                        0
당기순이익                                                 0                        0
당기순이익                                 5,833,162,000,000        5,078,221,000,000
당기순이익                                                 0                        0
당기순이익                                                 0                        0
당기순이익                                                 0                        0
자본총계                                  60,829,989,000,000       59,815,181,000,000
자본총계                                   1,781,778,000,000        1,926,229,000,000
자본총계                                  59,048,211,000,000       57,888,952,000,000
자본총계                                    -467,456,000,000          496,922,000,000
자본총계                                   4,359,388,000,000        5,082,578,000,000
